127.0.0.1, 2013-02-23 12:46:45, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/default/index, HTTP/1.1, 200, 1.499000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.017000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:46:47, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/default/index, HTTP/1.1, 200, 0.662000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.036000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.046000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.057000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.060000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.069000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.095000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.017000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.035000
127.0.0.1, 2013-02-23 12:47:09, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.044000
127.0.0.1, 2013-02-23 12:47:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-02-23 12:47:13, POST, /admin/default/index, HTTP/1.1, 303, 0.074000
127.0.0.1, 2013-02-23 12:47:13, GET, /admin/default/site, HTTP/1.1, 200, 0.274000
127.0.0.1, 2013-02-23 12:47:14, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:47:14, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.032000
127.0.0.1, 2013-02-23 12:47:14, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.031000
127.0.0.1, 2013-02-23 12:47:14, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.030000
127.0.0.1, 2013-02-23 12:47:14, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.039000
127.0.0.1, 2013-02-23 12:47:14, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-02-23 12:47:14, POST, /admin/default/check_version, HTTP/1.1, 200, 0.535000
127.0.0.1, 2013-02-23 12:47:14, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.606000
127.0.0.1, 2013-02-23 12:48:13, POST, /admin/default/site, HTTP/1.1, 303, 0.257000
127.0.0.1, 2013-02-23 12:48:14, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.469000
127.0.0.1, 2013-02-23 12:48:14, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:48:14, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.020000
127.0.0.1, 2013-02-23 12:48:14, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.022000
127.0.0.1, 2013-02-23 12:48:14, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.030000
127.0.0.1, 2013-02-23 12:48:14, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2013-02-23 12:49:03, GET, /app/index.html, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp, HTTP/1.1, 200, 0.806000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
